npaid,smiles
NPA000459,CCCCCCCCCCCC(CCCCC(C)CC(C)/C=C(\C)/C(=O)C(C)C(=O)OC(CO)C(C(C(=O)OC)O)O)O
NPA000461,CC[C@H](C)[C@H]1C(=O)OC(CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O)CCCCCCCCCC(C)C
NPA000468,CC1=C2C(=O)N[C@H](C3=NC(=CS3)C(=O)N[C@H](C(=O)N[C@H](C4=NC(=CS4)C5=NC(=CS5)C6=C(C=CC(=N6)C7=NC(=CS7)C(=O)NC(=C)C(=O)NC(=C)C(=O)O)C8=NC(=CS8)C(=O)N[C@H](C(=N2)S1)CC(=O)N)[C@@H](C)C9CO9)CC1=CC=C(C=C1)O)[C@@H](C1=CC=CC=C1)O
NPA000469,CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(CC4=CC(=C(C=C4)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O
NPA000475,C[C@H]1C/C(=C\[C@@H]([C@H](OC(=O)[C@H](C(NC(=O)[C@H](N(C(=O)[C@@H](NC1=O)C)C)CC2=CNC3=CC=CC=C32)C4=CC(=C(C=C4)O)Br)OC)C)C)/C
NPA000494,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NCCC(=O)OC(C(=O)N2CCC[C@H]2C(=O)N1)CC(CCl)O)C)C)C(C)CC)C
NPA000495,C[C@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CCC(=O)O)CC2=CNC3=CC=CC=C32)C(C)C)C(C)C
NPA000507,CC[C@H](C)[C@@H](C(=O)N(CO)[C@H](CCC1=NC(=CS1)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C[C@H](C)C(=O)O)C(C)C)NC(=O)[C@H]3CCCCN3C
NPA000508,CCCC[C@@H](C)[C@@H]([C@H](C)C(=O)/C(=C/[C@H]([C@H]([C@H](C(=O)N/C=C\C1=CC(=C(C=C1)O)Cl)OC)O)OC)/C)O
NPA000511,CCCCC[C@H](C/C=C/CCC(=O)NC[C@@H]([C@H]1[C@H](CC=C(C1=O)C)O)OC)OC
NPA000512,C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C
NPA000514,C[C@@H]([C@@H]1C/C=C/C(=O)N[C@@H](C(=O)NCCC(=O)O[C@H](C(=O)O1)CC(C)C)CC2=CC=C(C=C2)OC)[C@@H]3[C@H](O3)C4=CC=CC=C4
NPA000532,CCCCCCC[C@@H]1CC(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)C(C)CC)CC2=CC=CC=C2)[C@H](C)O)CO)CC(C)C
NPA000543,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@H](CCCCN)C(=O)O)CCCCNC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCC2=CC=C(O)C=C2)NC1=O
NPA000553,C[C@@H]1C(=O)OC([C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N1)CCC(=O)N)[C@H](C)O)C(C)C)C(C)C)NC(=O)CC(CCCCCCCCCCCCN=C(N)N)O)C
NPA000562,CC[C@H](C)[C@H]1C(=O)O[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]2CC[C@H](N(C2=O)[C@H](C(=O)N([C@H](C(=O)N1)CC3=CC=CC=C3)C)C(C)C)O)CC4=CC=C(C=C4)O)NC(=O)CC[C@@H](C(=O)O)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)C)C
NPA000567,CC(C)C(C(=O)NC(C(C)C)C(=O)NC(CC1=CC=CC=C1)C(CC(=O)NC(C)C(=O)NC(CC2=CC=CC=C2)C(CC(=O)O)O)O)NC(=O)CC3=CC=CC=C3
